CGPA,GRE_Score,TOEFL_Score,Research_Papers,Mini_Projects,Internships
7.49816047538945,306,119,3,1,3
9.802857225639665,271,100,4,5,2
8.92797576724562,321,107,2,4,1
8.394633936788146,339,90,1,5,2
6.624074561769746,267,113,3,2,2
6.623978081344811,280,87,1,5,0
6.232334448672798,339,101,1,3,3
9.46470458309974,329,87,1,4,0
8.404460046972835,331,94,2,2,3
8.832290311184181,284,96,0,5,3
6.08233797718321,271,102,3,4,2
9.879639408647977,274,103,0,4,3
9.329770563201688,318,98,0,2,2
6.849356442713105,285,84,0,5,2
6.7272998688284025,285,111,1,4,3
6.733618039413735,306,80,4,4,2
7.216968971838151,291,102,1,1,2
8.099025726528952,269,116,1,4,2
7.727780074568463,275,87,0,1,1
7.164916560792168,330,92,1,5,2
8.447411578889518,276,87,0,5,1
6.557975442608168,282,102,4,5,1
7.168578594140873,285,80,3,3,2
7.465447373174767,266,103,0,5,2
7.824279936868144,273,114,4,4,1
9.140703845572055,338,103,3,2,1
6.7986951286334385,266,96,2,1,2
8.056937753654447,268,84,0,3,2
8.36965827544817,307,99,0,5,3
6.185801650879991,331,100,2,5,1
8.430179407605753,318,119,2,2,1
6.682096494749166,298,110,0,2,3
6.260206371941118,277,115,2,3,1
9.795542149013333,318,90,1,1,0
9.862528132298237,276,94,3,5,1
9.233589392465845,273,98,3,3,3
7.218455076693482,290,86,3,4,0
6.3906884560255355,283,107,1,4,2
8.736932106048627,319,84,2,3,3
7.760609974958405,304,84,4,5,3
6.488152939379115,262,109,2,3,2
7.980707640445081,296,111,0,5,3
6.137554084460874,302,87,3,2,1
9.637281608315128,299,89,2,3,2
7.035119926400068,314,117,4,5,3
8.650089137415929,298,111,0,3,2
7.246844304357644,274,107,1,3,2
8.080272084711243,263,96,1,5,2
8.186841117373119,284,110,4,5,0
6.739417822102109,272,87,0,1,3
9.878338511058235,292,119,3,3,0
9.100531293444458,275,104,2,4,3
9.757995766256757,301,88,0,3,1
9.579309401710596,325,81,1,3,1
8.39159991524434,314,94,4,5,1
9.687496940092467,301,82,4,3,3
6.353970008207678,293,115,2,3,2
6.783931449676581,289,83,4,4,2
6.180909155642152,272,93,4,5,0
7.301321323053058,272,104,0,3,0
7.5547091587579285,277,89,3,2,1
7.085396127095583,291,100,2,1,0
9.314950036607717,298,115,0,4,3
7.427013306774358,305,91,3,3,3
7.123738038749523,288,106,0,2,0
8.170784332632994,321,119,0,3,0
6.563696899899051,321,81,4,3,0
9.208787923016159,316,92,3,5,0
6.298202574719083,275,111,2,5,1
9.94754774640207,315,110,2,5,1
9.088979077186629,269,95,3,2,0
6.79486272613669,289,111,4,3,3
6.02208846849441,284,111,1,1,1
9.261845713819337,264,113,0,4,3
8.82742937539047,324,90,4,5,2
